Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20
4,6,8,3,6,2,3,6,8,3,8,4,3,7,2,2,5,1,4,7
6,2,2,8,1,7,4,6,6,1,1,8,2,4,3,8,1,7,4,8
1,5,3,4,7,5,8,0,4,7,8,4,7,6,7,2,1,3,4,8
6,3,7,8,6,4,3,1,8,1,3,5,4,5,6,4,8,6,7,1
4,6,8,1,1,7,3,2,6,8,1,1,3,4,7,5,4,2,8,3
8,3,3,5,2,5,7,8,4,3,7,5,2,7,4,4,8,2,7,4
5,7,6,4,7,0,8,5,4,3,8,7,1,1,7,4,8,3,3,3
8,6,8,7,1,4,7,4,4,8,8,5,4,2,8,4,5,8,1,7
7,3,4,8,5,7,8,4,1,7,3,4,5,5,7,7,6,6,3,7
4,6,7,8,5,4,0,8,5,3,5,2,6,1,2,6,3,7,1,7
